,hands_played,pots_won,amount_won,to_inv,net_win,per_hand,vpip_count,inv_count,vpip,% won,avg_p_size,avg_agg,per_hand_inv,avg_player_num,avg_post_num,p_score,f_score,t_score,r_score
/P/xm24DBsfRoQ+cZG/aoQ,4207,452.0,7074.130000000001,7339.06,-264.9299999999994,-0.06297361540289978,722,1491,0.17161873068695033,0.30315224681421865,15.650730088495578,0.10577608747325885,-0.1776861167002008,8.455193724744474,1.734252436415498,0.0941288328975517,0.0071309721892084624,0.0030900879486570002,0.0014261944378416924
Lv1P4e5VOi9iExeiT6yu4w,4198,479.0,7204.080000000001,7639.2,-435.119999999999,-0.10364935683658862,810,1587,0.19294902334444974,0.3018273471959672,15.039832985386223,0.11005240590757503,-0.2741776937618141,8.281324440209623,1.7808480228680323,0.1026679371129109,0.005240590757503573,0.0016674606955693187,0.0004764173415912339
OkeZA4MnqDYwUto8c/azjQ,4197,640.0,6856.62,9783.91,-2927.29,-0.6974720038122468,835,2151,0.19895163211817965,0.297536029753603,10.71346875,0.1624970216821539,-1.3608972570897258,5.41863235644508,1.23040266857279,0.15320467000238266,0.006433166547533953,0.0019061234214915416,0.0009530617107457708
2z5y5+EUdo/4EvR7fn2BKw,4177,608.0,7964.679999999999,10695.25,-2730.5700000000006,-0.6537155853483363,786,1995,0.1881733301412497,0.3047619047619048,13.099802631578946,0.16902082834570265,-1.3687067669172936,5.64017237251616,1.4158486952358151,0.15800813981326312,0.007661000718218817,0.0021546564519990424,0.0011970313622216902
KX/0x8JtlabNJOZ7jkDHaw,4170,390.0,5482.900000000001,7520.15,-2037.249999999999,-0.4885491606714626,916,1590,0.21966426858513188,0.24528301886792453,14.05871794871795,0.07697841726618705,-1.2812893081761,8.392326139088729,1.9381294964028777,0.06235011990407674,0.005275779376498801,0.008393285371702638,0.0009592326139088729
x04jIpU4TAcu9lMEabF+hQ,4058,1010.0,11838.29,14868.25,-3029.959999999999,-0.7466633809758499,1304,2762,0.32134056185312965,0.36567704561911657,11.721079207920793,0.2666338097585017,-1.097016654598117,4.440118284869394,0.9884179398718581,0.2582552981764416,0.005174963035978314,0.001971414489896501,0.0012321340561853129
dmWdJV0KcZAJMusOD/U9VA,4040,857.0,11983.539999999997,14615.33,-2631.7900000000027,-0.6514331683168324,1114,2169,0.27574257425742577,0.39511295527893037,13.98312718786464,0.24059405940594059,-1.2133656062701719,5.5,1.1056930693069307,0.23366336633663368,0.005445544554455445,0.0012376237623762376,0.00024752475247524753
2+7yuekF6TM7cEeeMS2ctQ,4029,391.0,5731.05,6308.26,-577.21,-0.1432638371804418,692,1450,0.1717547778605113,0.2696551724137931,14.657416879795397,0.08687019111442046,-0.39807586206896556,8.371308016877638,1.7798461156614545,0.07098535616778356,0.010920824025812856,0.0047158103747828245,0.0002482005460412013
SOYAQQxpJasj/yj65nbFxg,4016,281.0,3914.0399999999995,5158.92,-1244.8800000000006,-0.30998007968127506,543,1344,0.13520916334661354,0.20907738095238096,13.928967971530247,0.05104581673306773,-0.9262500000000005,8.23680278884462,1.9123505976095618,0.04506972111553785,0.0034860557768924302,0.00199203187250996,0.00049800796812749
uRZ/nkWHmb5GY/JoaUxtoA,3971,682.0,12724.589999999998,14339.139999999994,-1614.5499999999956,-0.4065852430118347,1172,2142,0.2951397632838076,0.3183940242763772,18.657756598240468,0.1969277260135986,-0.7537581699346385,5.541173507932511,1.4782170737849407,0.18509191639385544,0.006547469151347267,0.004281037522034752,0.001007302946361118
